;RS;archive/general area;detail in general;loc;pt;depth;script;genre;date;scribe;origin;bibliography;museal sig;col;Associated UTDB(+-RSTI) Entry
0;1.[076];House of the High Priest;;GP 1;300;;a-ug;Rel;;;;1.34;AO 25.165;;['1.[077]', '1.076', '1-11.[047]', '1-11.[048]']
1;1.[077];House of the High Priest;;GP 1;300;;a-;;;;;7.25;AO 25.166;;['1.[077]', '1.076', '1-11.[047]', '1-11.[048]']
2;1-11.[047];;;;;;a-;;;;;7.17;AO 25.164;;['1.[077]', '1.076', '1-11.[047]', '1-11.[048]']
3;1-11.[048];;;;;;a-hu;Rel;;;u;1.26;AO 25.167;;['1.[077]', '1.076', '1-11.[047]', '1-11.[048]']
4;1.[084];House of the High Priest;;GP 1;300;;a-;;;;;7.1=7.26;A 7305;;['1.[084]', '1.[087]']
5;1.[087];House of the High Priest;;GP 1;300;;a-ug;;;;;7.2=7.29;A 7303;;['1.[084]', '1.[087]']
6;1.011[A]+1.011[B];House of the High Priest;;GP 1;;;;;;;;4.13;AO 12.004;;['1.011[B]', '1.011', '1.011[A]']
7;1.011;House of the High Priest;;GP 1;300;;a-ug;E;;;u;4.13;A 2745;;['1.011[B]', '1.011', '1.011[A]']
8;16.196;Royal Palace;Central archive;VI;432;;a-ug;Le;;;;2.25;D 4302;;['16.007[E]', '16.196', '16.007[E],16.007[E]']
9;16.007[A]+16.007[B]+16.007[C]+16.007[D]+16.007[E]+16.007[F]+16.007[G];Royal Palace;;62;316;;;;;;;frgs.;—;;['16.007[E]', '16.196', '16.007[E],16.007[E]']
10;16.075;Royal Palace;;62;316;0.90;a-ug;E;;;u;4.210;D 4229;;['16.075', '16.006']
11;16.006;Royal Palace;;III;222;0.55;a-ug;E;;;u;4.207;D 4225;;['16.075', '16.006']
12;17.438[A]+17.438[B];Royal Palace;Eastern archive;56;901;;;;;;;ftgs.;;;['17.436', '17.437', '17.435', '17.434[B]', '17.434', '17.434[A]', '17.438[A]', '17.438[B]', '17.438']
13;17.434;Royal Palace;Eastern archive;56;901;;a-ug;Le;;;;UF10,420;D4713;;['17.436', '17.437', '17.435', '17.434[B]', '17.434', '17.434[A]', '17.438[A]', '17.438[B]', '17.438']
14;17.434[A];Royal Palace;Eastern archive;56;901;;a-ug;;;;;ib.;D -;;['17.436', '17.437', '17.435', '17.434[B]', '17.434', '17.434[A]', '17.438[A]', '17.438[B]', '17.438']
15;17.434[B];Royal Palace;Eastern archive;56;901;;a-ug;;;;;ib.;D -;;['17.436', '17.437', '17.435', '17.434[B]', '17.434', '17.434[A]', '17.438[A]', '17.438[B]', '17.438']
16;17.435+17.436+17.437;Royal Palace;Eastern archive;56;901;;a-ug;LeI;Ph;;(h);2.36;D 4744;;['17.436', '17.437', '17.435', '17.434[B]', '17.434', '17.434[A]', '17.438[A]', '17.438[B]', '17.438']
