;Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Clemens note;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note;Associated SAU Entry
0;RS;['15.131'];SET TO FALSE;Legal;no religious contents;Tablet, Logosyllabic Akkadian;;Tablet;DO 3999;Royal Palace;Eastern archive;Palais Royal, room 55 (Archives Est), p.t. 160 ? 1,60;160;1,6;RS 15.131;Logosyllabic;Akkadian;59 x 55 x 24;;;;;15.131+15.127
1;RS;['15.127'];;;;Tablet, Logosyllabic Akkadian;;Tablet;DO 3995;Royal Palace;Central archive;Palais Royal, room 30 (Archives Centrales), p.t. 144 ? 2,20;144;2,2;RS 15.127;Logosyllabic;Akkadian;52 x 55 x 25;;;;;15.131+15.127
2;RS;['15.175A'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.175A;Alphabetic;Ugaritic;44 x 56 x 18;9.88;;;;15.175A+15.175B+15.175C
3;RS;['15.175B'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.175B;Alphabetic;Ugaritic;13 x 31 x 14;9.89;;;;15.175A+15.175B+15.175C
4;RS;['15.175C'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.175C;Alphabetic;Ugaritic;26 x 22 x 8;9.90;;;;15.175A+15.175B+15.175C
5;RS;['15.187[C]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.187 [C];Alphabetic;Ugaritic;40 x 19 x 18;4.197;;;;15.187C+15.187D+15.187E+15.187F+15.187G
6;RS;['15.187[D]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.187 [D];Alphabetic;Ugaritic;31 x 26 x 26;4.198;;;;15.187C+15.187D+15.187E+15.187F+15.187G
7;RS;['15.187[E]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.187 [E];Alphabetic;Ugaritic;25 x 28 x 17;9.92;;;;15.187C+15.187D+15.187E+15.187F+15.187G
8;RS;['15.187[F]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.187 [F];Alphabetic;Ugaritic;21 x 12 x 13;9.93;;;;15.187C+15.187D+15.187E+15.187F+15.187G
9;RS;['15.187[G]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.187 [G];Alphabetic;Ugaritic;20 x 20 x 12;9.94;;;;15.187C+15.187D+15.187E+15.187F+15.187G
10;RS;['15.191[B]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.191 [B];Logosyllabic;Akkadian;20 x 19 x 14;;;;;15.191B+15.191C
11;RS;['15.191[C]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.191 [C];Logosyllabic;Akkadian;16 x 15 x 12;;;;;15.191B+15.191C
12;RS;['15.192[E]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [E];Alphabetic;Ugaritic;53 x 52 x 21;9.97;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
13;RS;['15.192[F]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [F];Logosyllabic;Akkadian;38 x 59 x 19;;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
14;RS;['15.192[G]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [G];Logosyllabic;Akkadian;60 x 40 x 19;;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
15;RS;['15.192[H]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Eastern archive;Palais Royal, room 52 (Archives Est), p.t. 108 ? 2,70;108;2,7;RS 15.192 [H];Logosyllabic;Akkadian;23 x 28 x 13;;;;;15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P
