;Excavation Siglum;"Excavation Numbers ""Cleared""";Excavation Numbers UTDB (+-RSTI);Excavation Numbers SAU;KTU3;SAU Biblio (not full!!);Script;Language;SAU Script;SAU Language;SAU Script et Language;SAU genre;RSTI object type;RSTI description;Archive/General area;SAU Archive/General area;Detail in General;SAU Detail in General;SAU findspot;possible relevant (religious) genres;"""Clemens 2001""";Clemens Type;Clemens Note;Seal;Size;Museal Siglum;SAU Museal Siglum;TEO findspot;Topographic Point;SAU p.t.;Depth;SAU Depth;Note
0;RS;['Varia1'];['[Varia1]'];;;;;;;;;;Tablet;Tablet;;;;;;;;;;;;;;;;;;;
1;RS;['1957.3', 'Varia11'];['[Varia11]', '1957.3'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet;;;;;;;;;;;29 x 42;MS 1955/3;;;;;;;
2;RS;['1957.702', 'Varia14'];['[Varia14]', '1957.702'];;3.9;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;mrzh;PRAVDA;Legal;marzihu;;103 x 85;MS 1955/6;;;;;;;
3;RS;['Varia15'];['[Varia15]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;124 x 90 x 22;AO 21.085;;;;;;;
4;RS;['Varia16'];['[Varia16]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;76 x 61 x 28;AO 21.087;;;;;;;
5;RS;['Varia17'];['[Varia17]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;42 x 53 x 23;AO 21.089;;;;;;;
6;RS;['Varia18'];['[Varia18]'];;4.7;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;;;;;;;;;
7;RS;['Varia19'];['[Varia19]'];;4.785;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;116 x 71 x 24;AO 21.086;;;;;;;
8;RS;['Varia20'];['[Varia20]'];;1.162;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;ritual/list (sacrifices);;;;;;;;;;;;;
9;RS;['Varia21'];['[Varia21]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;100 x 77 x 43;AO 21.091;;;;;;;
10;RS;['Varia22'];['[Varia22]'];;4.786;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;FALSE;;no clear cultic context;;56 x 84 x 24;AO 21.088;;;;;;;
11;RS;['Varia23'];['[Varia23]'];;5.23;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;50 x 60 x 19;AO 21.090;;;;;;;
12;RS;['Varia24'];['[Varia24]'];;;;;;;;;;Tablet;Tablet;;;;;;;;;;;;;;;;;;;
13;RS;['Varia25'];['[Varia25]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;51 x 64 x 21;Lattaquie 7;;;;;;;
14;RS;['Varia26'];['[Varia26]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;House of Urtenu;;;;;;PRAVDA;Letter;benediction;;56 x 82 x 25;Lattaquie 88;;;;;;;
15;RS;['Varia27'];['[Varia27]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;72 x 59 x 8;Collection privée;;unknown;;;;;
16;RS;['Varia28'];['[Varia28]'];;4.787;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;53 x 36 x 19;M 3601 ? rangée avec les tabl. de RS au musée d'Alep.;;unknown;;;;;
17;RS;['Varia29'];['[Varia29]'];;9.427;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;37 x 37 x 17;M8877;;unknown;;;;;
18;RS;['Varia3'];['[Varia3]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;85 x 64 x 26;M8226 = A2830 (AO 18.890);;unknown;;;;;
19;RS;['Varia30'];['[Varia30]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;120 x 81 x 38;Bruxelles O.3674;;unknown;;;;;
20;RS;['Varia31'];['[Varia31]'];;4.817;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;44 x 52 x 25;AO 29.390;;unknown;;;;;
21;RS;['Varia32'];['[Varia32]'];;4.818;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;41 x 54 x 17;AO 29.391;;unknown;;;;;
22;RS;['Varia33'];['[Varia33]'];;4.819;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;50 x 61 x 20;AO 29.392;;unknown;;;;;
23;RS;['Varia34'];['[Varia34]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;lexical deities;PRAVDA;Lexical;DNN;;76 x 60 x 27;AO 29.393;;unknown;;;;;
24;RS;['Varia35'];['[Varia35]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;85 x 55 x 21;AO 29.507;;unknown;;;;;
25;RS;['Varia36'];['[Varia36]'];;;;Logosyllabic;Akkadian;;;;;Seal;Cylinder Seal, logosyllabic Akkadian;;;;;;;;;;seal;23 x 12;AO ?;;unknown;;;;;
26;RS;['Varia37'];['[Varia37]'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;53 x 69 x 29;Collection privée;;unknown;;;;;
27;RS;['Varia38'];['[Varia38]'];;4.784;;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;80 x 69 x 35;Collection privée;;unknown;;;;;
28;RS;['Varia39'];['[Varia39]'];;;;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";;;;;Tablet;Tablet, Alphabetic Ugaritic, Logosyllabic Akkadian;;;;;;;;;;;65 x 94 x 28;Collection privée;;unknown;;;;;
29;RS;['Varia40'];['[Varia40]'];;;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;48 x 50 x 15;Collection privée;;unknown;;;;;
30;RS;['Varia41'];['[Varia41]'];;;;Alphabetic;Ugaritic;;;;;Tablet;Tablet, Alphabetic Ugaritic;;;;;;;;;;;58 x 50 x 17;Collection privée;;unknown;;;;;
31;RS;['Varia5'];['[Varia5]'];;6.3;;Alphabetic;Ugaritic;;;;;Label;Label, Alphabetic Ugaritic;;;;;;;;;;;;;;unknown;;;;;
32;RS;['15.Y', 'Varia7'];['[Varia7]', '15.Y'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;54 x 48 x 23;AO 27.987;;unknown;;;;;
33;RS;['1957.1', 'Varia9'];['[Varia9]', '1957.1'];;;;Logosyllabic;Akkadian;;;;;Tablet;Tablet, Logosyllabic Akkadian;;;;;;;;;;;82 x 102;"Claremont CA (USA); MS1955/1";;unknown;;;;;
34;RS;['1.049A'];['1.[049A]'];1.[049A]+1.[049B];1.59;1.59;Alphabetic;Hurrian;Alphabetic;Hurrian;a-hu;Rel?;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP 1;religious;;;;;20 x 20 x 11;M3441 = A7290;A 7290;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
35;RS;['1.049B'];['1.[049B]'];1.[049A]+1.[049B];9.1;1.59;Alphabetic;Ugaritic;Alphabetic;Hurrian;a-hu;Rel?;Tablet;Tablet, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP 1;;;;;;17 x 18 x 6;M3441 = A7290;A 7290;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
36;RS;['1929.299.1', '1.051'];['1.[051]', '1929.299.1'];1.[051];6.6;6.6, U3,f216, TEO l,f3;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;hoe;Axehead;Axehead, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP3/6, under threshold;depot;PRAVDA;;votive inscription, rb khnm;;diam. = 52 long. = 230 largeur du tranchant = 65;AO 11.610;AO 11.610;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;299;;1.20?;
37;RS;['1.052', '1929.299.2'];['1.[052]', '1929.299.2'];1.[052];6.10;6.10, U3,f216, TEO l,f3;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;axe;Axehead;Axehead, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP3/6, under threshold;depot;PRAVDA;;votive inscription, rb khnm;;diam. = 52 long. = 230 largeur du tranchant = 64;AO 11.611;AO 11.611;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;;;;
38;RS;['1929.299.3', '1.053'];['1.[053]', '1929.299.3'];1.[053];6.7;6.7, U3,f216;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;axe;Axehead;Axehead, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP3/6, under threshold;depot;PRAVDA;;votive inscription, rb khnm;;diam. = 51 long. = 230 largeur du tranchant = 63;AO 11.612;AO 11.612;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;;;;
39;RS;['1929.299.4', '1.054'];['1.[054]', '1929.299.4'];1.[054];6.8;6.8, U3,f216;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;axe;Axehead;Axehead, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP3/6, under threshold;depot;PRAVDA;;votive inscription, rb khnm;;diam. = 47 long. = 235 largeur du tranchant = 63;M8432 = A4157;A 4157;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;;;;
40;RS;['1.055', '1929.299.5'];['1.[055]', '1929.299.5'];1.[055];6.9;6.9, U3,f216, TEO l,f3;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;axe;Axehead;Axehead, Alphabetic Ugaritic;House of the High Priest;House of the High Priest;;;GP3/6, under threshold;depot;PRAVDA;;votive inscription, rb khnm;;diam. = 59 long. = 230 largeur du tranchant = 68;AO 11.615;AO 11.615;Acropole, M. du Grand Ptetre «trésor de bronze» (= p.t. 299);299;;;;
41;RS;['1.056'];['1.[056]'];1.[056];;S10 pl 76/1;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;Le;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;SET TO FALSE;Letter;oath ref., but it has no religious contents;;76 x 60 x 24;M3393 = A2753 (AO 12.040);A 2753;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;In Ahl 1973 it is as RS 1.001 but why? That this is RS 1.[056] is indicated by Clemens 2001: 624
42;RS;['1.057'];['1.[057]'];1.[057];;S10 pl 76/2;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;Le;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;;;;;82 x 57 x 21;M3394 = A2754 (AO 12.041);A 2754;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
43;RS;['1.058'];['1.[058]'];1.[058];;S10 pl 76/3;Logosyllabic;Akkadian;Logosyllabic;Sumerian;s-su;Hh 2;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;;;;;34 x 51 x 7;M3395 = A2755 (AO 12.042);;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
44;RS;['1.059'];['1.[059]'];1.[061]+1.[059]+2.[015]?;;S 10 pl 77/4a|S10 pl 77/4c;Logosyllabic;"Akkadian; Sumerian";Logosyllabic;Sumerian;s-su;Hh 1;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;FALSE;Lexical;as join maybe, but this fragment does not have religious refs.;;69 x 55 x 27;M3396 = A2756 (AO 12.043);A 2756|A 2758;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
45;RS;['1.060'];['1.[060]'];1.[060];;S10 pl 77/4b;Logosyllabic;"Akkadian; Sumerian";Logosyllabic;Sumerian;s-su;Hh 1;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;;;;;61 x 64 x 26;M3397 = A2757 (AO 12.044);A 2757;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
46;RS;['1.061'];['1.[061]'];1.[061]+1.[059]+2.[015]?;;S 10 pl 77/4a|S10 pl 77/4c;Logosyllabic;"Akkadian; Sumerian";Logosyllabic;Sumerian;s-su;Hh 1;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;;;;;49 x 45 x 13;M3398 = A2758 (AO 12.045);A 2756|A 2758;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
47;RS;['1.062'];['1.[062]'];1.[062];;S10 pl 77/5, M5,131,149;Logosyllabic;"Akkadian; Sumerian";Logosyllabic;Sumerian;s-su;Hh 3-;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;;;;;71 x 75 x 28;M3399 = A2759 (AO 12.046);A 2759;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
48;RS;['1.063'];['1.[063]'];1.[063];;S10 pl 77/6, M5,90;Logosyllabic;"Akkadian; Sumerian";Logosyllabic;Sumerian;s-su;Hh 3-;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;;;;;30 x 25 x 16;M3400 = A2760 (AO 12.047);A 2760;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
49;RS;['1.065C', '1.065A', '1.065B'];['1.[065][A]', '1.[065][B]', '1.[065][C]'];1.[065A]+1.065[B]+1.065[C];;U5,nl28;Logosyllabic;"Akkadian; Sumerian";Logosyllabic;Sumerian;s-su;G;Tablet;Tablet, Logosyllabic Akkadian;House of the High Priest;House of the High Priest;;;GP 1;;PRAVDA;Lexical;WGL;;64 x 37 x 18;M3363 = A2773 (faux no AO «12.048» écrit sur le plâtre);A 2773;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
50;RS;['1.066'];['1.[066]'];1.[066];1.32;1.32;Alphabetic;Hurrian;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Hurrian;House of the High Priest;House of the High Priest;;;GP 1;ritual;;;;;40 x 27 x 10;AO 20.000 A;AO20.000A;Acropole, Maison du Gr. Ptetre «nid de tablettes» (= p.t. 300);300;300;;;
