RS;archive/general area;detail in general;loc;pt;depth;script;genre;date;scribe;origin;bibliography;museal sig;col
11.853;Royal Zone;;W of WE;2453;2.80;s-hu;LeI?;;;k?;P3,327;;
16.382;Royal Palace;Central archive;"""région Arch.C""";;;a-ug;J;A-2;;u;3.5;D 4388;
15.146+15.161;Royal Palace;Central archive;VI;ib.|196;1.60;s-ak;J;N-;;u;P3,58|TEO 1,92];D 4011;
13.012;Royal Palace;Western archive;1;8;3.00;a-ug;E;;;u;4.122;D 3700;
13.014bis;Royal Palace;Western archive;1;8;;a-ug;ib.;;;ib.;4.105;AO 25.171;
14.001;Royal Palace;Western archive;1;33;3.75;a-ug;E;;;u;4.125;D 3886;
13.001;Royal Palace;;16;1;1.25;a-ug;E;;;u;4.119;D 3692;
13.008;Royal Palace;;16;5;1.70;;tag (seal);;;;;D 3703;
12.033;Royal Palace;Western archive;2/3;16;1.55;s-ak;LeI?;Taryelli;;u;P3,14;D 3683;
12.034+12.043;Royal Palace;Western archive;2|4;18|17;2.25|1.70;s-ak;E;;;u;S28,49-;D 3684;
15.093;Royal Palace;Central archive;20;215;1.80;a-ug;E;;;u;4.172;D 3966;
15.088;Royal Palace;Central archive;21;182;2.20;s-ak;J;Np;38;u;P3,88;D 3961;
15.090;Royal Palace;Central archive;21;189;1.25;s-ak;J;N-2;;u;P3,54;D 3963;
15.137;Royal Palace;Central archive;21;189;1.25;s-ak;J;A-2;;u;P3,134;D 4004;*
15.139;Royal Palace;Central archive;21;189;1.25;s-ak;J;Ib;;u;P3,166;D 4006;
13.007bis;Royal Palace;;28;7;1.65;s-ak;LeI;Ap;;k?;P3,6,2;D 3695;
13.020;Royal Palace;;28 (near 13.14);10;2.35;a-ug;E;;;u;4.124;D 3699;
12.060;Royal Palace;;28 (T.);48;1.00;a-ug;E;;;u;4.117;D 3688;
13.014=13.012bis;Royal Palace;;28, 1;10, 8;2.35, 3.00;a-ug;E;;;u;4.123, P2,nl03;D 3698;
18.100;Royal Palace;;29;1501;under wall;s-ak;JI?;;;;P4,241;D 4821;
11.835;Royal Palace;Western archive;3;2428;1.75;;;;;;?;;
12.064;Royal Palace;Western archive;3;27;1.00;a-ug;Sch;;;u;5.7;D 3690;
15.070;Royal Palace;Central archive;30;195;2.80;s-ak;J;;A-2;u;P3,130;D 3944;
14.016;;;W.Tr. C.;107;1.70;s-ak;J;;4;u;S28.173;D 3888;**
14.017;;;W.Tr. 101 C.;;1.90;;;;;;;D 3889;
11.774;Royal Zone;;W of WE;2417;1.60;a-ug;E;;;u;4.77;AO 19.965;
11.784;Royal Zone;;W of WE;2425;2.00;a-ug;E;;;u;4.83;AO 19.980;
11.785;Royal Zone;;W of WE;2425;;a-ug;E;;;u;4.84;AO 19.997;
11.786;Royal Zone;;W of WE;2422;1.55;a-ug;E;;;u;4.85;AO 19.963;
11.795;Royal Zone;;W of WE;2423;1.80;a-ug;E;;;u;4.91;AO 19.974;
11.798;Royal Zone;;W of WE;2423;1.80;s-ak;;;;;;A 2832;
11.799;Royal Zone;;W of WE;2423;;a-ug;E;;;u;4.92;A 2809;
11.800bis;Royal Zone;;W of WE;2423;;s-ak;E;;;u;P3,190;AO 19.984;
11.850;Royal Zone;;W of WE;2452;4.00;a-ug;E;;;u;4.100;A 2792;
20.217;Residential District;;W of Rap;1763;0.30;s-su-ak;Hh 24;;;u;;D 5386;
20.244+21.063F;Residential District;;W of Rap;ib.|1851;0.40;s-ak;Le;;;;U5,n61|U5,n60;D -|D 5406;
21.056;Residential District;;W of Rap;2244;1.00;a-ug;E;;;u;4.705;D 5566;
