,Literary and Religious,Letters,Legal and Juridical,Economic,Scribal Excercises,Inscriptions,Unclassified etc.,Ugaritic in syllabic,total
Other/unknown,41,21,8,160,10,37,223,0,0
House of the High Priest,54,11,0,21,1,5,25,0,117
Royal Palace,16,44,22,532,10,62,319,0,1005
House of Rašapabu,1,0,0,3,2,0,0,0,6
Literate’s House,0,1,1,0,0,0,10,0,12
Between Royal Palace and South Palace,0,1,2,2,0,1,7,0,13
House of Yabninu,0,3,0,16,1,0,15,0,35
House of Rapanu,0,1,0,13,3,0,6,1,24
House of Urtenu,3,26,2,78,4,1,5,0,119
House of the Literary Tablets,4,0,0,4,1,0,5,0,14
House of the Hurrian Priest,58,0,0,12,2,0,79,0,151
Lamaštu,0,0,0,2,0,0,0,0,2
