,SAU language,"""RSTI"" language",value
0,unknown/unassigned,unknown/unassigned,317
1,Akkadian,Akkadian,870
2,Ugaritic,Ugaritic,1036
3,unknown/unassigned,Akkadian,694
4,unknown/unassigned,Ugaritic,802
5,unknown/unassigned,Ugaritic;Akkadian,18
6,Hurrian,Hurrian,76
7,Sumerian,Akkadian,265
8,Sumerian,unknown/unassigned,14
9,Ugaritic,Hurrian,4
10,unknown/unassigned,Hurrian,16
11,Ugaritic;Hurrian,Hurrian,1
12,unknown/unassigned,Egyptian,18
13,Ugaritic,Ugaritic;Akkadian,8
14,Egyptian,Egyptian,82
15,Ugaritic;Akkadian,Ugaritic;Akkadian,17
16,Akkadian;Sumerian,Akkadian,113
17,Hittite,Akkadian;Hittite,1
18,Akkadian,Akkadian;Hurrian,1
19,Akkadian,unknown/unassigned,36
20,Akkadian;Sumerian,Akkadian;Sumerian,5
21,Ugaritic,unknown/unassigned,30
22,Egyptian,unknown/unassigned,9
23,Ugaritic;Akkadian,Akkadian,5
24,Cypro-Minoan,Cypro-Minoan,5
25,Sumerian,Sumerian,3
26,Akkadian,Ugaritic,7
27,Akkadian;Sumerian,unknown/unassigned,6
28,Hittite,Hittite,8
29,Hittite,unknown/unassigned,3
30,Ugaritic;Akkadian,Ugaritic,42
31,Akkadian,Ugaritic;Akkadian,2
32,Ugaritic;Akkadian,unknown/unassigned,15
33,Sumerian,Ugaritic;Akkadian,1
34,Ugaritic;Akkadian;Sumerian;Hurrian,Ugaritic;Akkadian;Sumerian;Hurrian,6
35,Ugaritic;Akkadian;Sumerian;Hurrian,,1
36,unknown/unassigned,Cypro-Minoan,6
37,Akkadian;Sumerian;Hurrian,Akkadian;Sumerian;Hurrian,1
38,Akkadian;Sumerian,Ugaritic;Akkadian;Sumerian;Hurrian,1
39,Ugaritic;Akkadian;Sumerian,Ugaritic;Akkadian,1
40,Ugaritic;Sumerian,Ugaritic;Akkadian,1
41,Akkadian,Akkadian;Hittite,1
42,Akkadian;Hurrian,Akkadian;Hurrian,1
43,Akkadian;Sumerian,Akkadian;Sumerian;Hurrian,1
44,Ugaritic,Ugaritic;Hurrian,3
45,Ugaritic;Hurrian,Ugaritic;Hurrian,2
46,Akkadian,Akkadian;Sumerian,4
47,Akkadian,Sumerian,2
48,Sumerian,Akkadian;Sumerian,1
49,Akkadian;Sumerian;Hittite,Akkadian;Sumerian;Hittite,1
50,unknown/unassigned,Akkadian;Sumerian,2
51,Cypro-Minoan,unknown/unassigned,4
52,Phoenician,Phoenician,1
53,unknown/unassigned,Hittite,3
54,Ugaritic,Ugaritic;Hittite,1
55,unknown/unassigned,Phoenician,1
56,unknown/unassigned,Latin,5
57,unknown/unassigned,Akkadian;Sumerian;Hurrian,1
58,Hurrian,Akkadian,1
