,SAU language,"""RSTI"" language",value
0,unknown/unassigned,unknown/unassigned,317
1,Akkadian,Akkadian,870
2,Ugaritic,Ugaritic,1036
3,unknown/unassigned,Akkadian,694
4,unknown/unassigned,Ugaritic,802
5,unknown/unassigned,multilingual,21
6,Hurrian,Hurrian,76
7,Sumerian,Akkadian,265
8,Sumerian,unknown/unassigned,14
9,Ugaritic,Hurrian,4
10,unknown/unassigned,Hurrian,16
11,multilingual,Hurrian,1
12,unknown/unassigned,Egyptian,18
13,Ugaritic,multilingual,12
14,Egyptian,Egyptian,82
15,multilingual,multilingual,37
16,multilingual,Akkadian,118
17,Hittite,multilingual,1
18,Akkadian,multilingual,8
19,Akkadian,unknown/unassigned,36
20,Ugaritic,unknown/unassigned,30
21,Egyptian,unknown/unassigned,9
22,Cypro-Minoan,Cypro-Minoan,5
23,Sumerian,Sumerian,3
24,Akkadian,Ugaritic,7
25,multilingual,unknown/unassigned,21
26,Hittite,Hittite,8
27,Hittite,unknown/unassigned,3
28,multilingual,Ugaritic,42
29,Sumerian,multilingual,2
30,multilingual,,1
31,unknown/unassigned,Cypro-Minoan,6
32,Akkadian,Sumerian,2
33,Cypro-Minoan,unknown/unassigned,4
34,unknown/unassigned,Hittite,3
35,Hurrian,Akkadian,1
