,religious,related,other,total
Other/unknown,57.0,31.0,663.0,2.0
House of Urtenu,31.0,38.0,614.0,683.0
House of the High Priest,65.0,16.0,70.0,151.0
Royal Palace,138.0,122.0,1429.0,1689.0
House of Rašapabu,2.0,2.0,22.0,26.0
Literate’s House,4.0,,23.0,27.0
House of Rapanu,14.0,21.0,456.0,491.0
Between Royal Palace and South Palace,1.0,5.0,45.0,51.0
House of Yabninu,0.0,3.0,138.0,141.0
Minet el-Beida,1.0,,9.0,0.0
Ras Ibn-Hani,15.0,5.0,173.0,1.0
House of the Literary Tablets,13.0,6.0,79.0,98.0
House of the Hurrian Priest,59.0,12.0,96.0,167.0
Lamaštu,26.0,3.0,75.0,104.0
