,ritual,narrative,hymn/prayer,divination,incantation/magic,other religious,related,total
Other/unknown,12,12,4,5,9,22,28,2
House of Urtenu,3,12,1,5,5,6,38,70
House of the High Priest,20,24,3,0,2,18,15,82
Royal Palace,7,8,66,50,2,7,122,262
Literate’s House,0,2,0,0,1,1,0,4
House of Rašapabu,0,0,0,0,1,1,2,4
House of Rapanu,0,2,0,3,8,11,19,43
Between Royal Palace and South Palace,0,0,0,1,0,0,5,6
House of Yabninu,0,0,0,0,0,0,3,3
House of the Literary Tablets,0,6,1,6,2,1,6,22
House of the Hurrian Priest,28,9,5,8,3,7,12,72
Lamaštu,0,8,5,2,10,2,3,30
Minet el-Beida,0,0,0,0,0,1,0,0
Ras Ibn-Hani,8,3,1,1,2,0,5,1
